"pitcher_id","team_id","game_id","season","day","pitcher_team_rbi","strikeouts","innings_pitched","pitcher_is_home","strike_count","ball_count","base_count"
"b7ca8f3f-2fdc-477b-84f4-157f2802e9b5","b024e975-1c4a-4575-8936-a3754a08806a","b8897596-7f3a-4704-acab-0a699349c356",3,1,4,3,8,False,3,4,4
"9abe02fb-2b5a-432f-b0af-176be6bd62cf","747b8e4a-7e50-4638-a973-ea7950a3e739","53d65fc7-573b-4d6d-af0c-ac37c91c078e",3,1,4,6,9,True,3,4,4
"1513aab6-142c-48c6-b43e-fbda65fd64e8","ca3f1c8c-c025-4d8e-8eef-5be6accbeb16","bdf9d5fa-c16d-40a4-8880-2aef09bb7b76",3,1,1,4,9,True,3,4,4
"a199a681-decf-4433-b6ab-5454450bbe5e","adc5b394-8f76-416d-9ce9-813706877b84","bdf9d5fa-c16d-40a4-8880-2aef09bb7b76",3,1,8,4,8,False,4,4,4
"316abea7-9890-4fb8-aaea-86b35e24d9be","57ec08cc-0411-4643-b304-0e80dbc15ac7","b3003ea4-fc12-4da0-bee4-f6fd8aaa92f5",3,1,3,2,9,False,3,4,4
"ae4acebd-edb5-4d20-bf69-f2d5151312ff","36569151-a2fb-43c1-9df7-2df512424c82","561803aa-0a3e-41d1-b716-a9fd80a82a31",3,1,6,6,9,False,4,4,4
"7c5ae357-e079-4427-a90f-97d164c7262e","b72f3061-f573-40d7-832a-5ad475bd7909","102c0918-6054-4c07-aad7-d75fac5f46f3",3,1,1,4,9,True,4,4,4
"2ae8cbfc-2155-4647-9996-3f2591091baf","bfd38797-8404-4b38-8b82-341da28b1f83","561803aa-0a3e-41d1-b716-a9fd80a82a31",3,1,14,3,9,True,3,4,4
"9397ed91-608e-4b13-98ea-e94c795f651e","7966eb04-efcc-499b-8f03-d13916330531","b8897596-7f3a-4704-acab-0a699349c356",3,1,1,7,9,True,3,4,4
"773712f6-d76d-4caa-8a9b-56fe1d1a5a68","878c1bf6-0d21-4659-bfee-916c8314d69c","0394d25f-bccb-4b67-87f1-39085dec30f5",3,1,1,3,9,False,3,4,4
